Participant,Subj_no,DiffSpeech,DiffGabor,roi,beta
KB220915,sub-01,easy,easy,r_insula,NA
EG220928,sub-02,easy,easy,r_insula,NA
RU221003,sub-03,easy,easy,r_insula,-0.27748
CB221005,sub-04,easy,easy,r_insula,0.51743
DP221007,sub-05,easy,easy,r_insula,0.62286
EM221011,sub-06,easy,easy,r_insula,0.20496
MR221012,sub-07,easy,easy,r_insula,0.84991
TH221024,sub-08,easy,easy,r_insula,0.16128
JA221024,sub-09,easy,easy,r_insula,0.19337
ES221025,sub-10,easy,easy,r_insula,NA
FN221026,sub-11,easy,easy,r_insula,0.61181
SA221026,sub-12,easy,easy,r_insula,0.85019
VG221026,sub-13,easy,easy,r_insula,0.26196
KL221026,sub-14,easy,easy,r_insula,0.84191
AN221026,sub-15,easy,easy,r_insula,0.63957
EL221026,sub-16,easy,easy,r_insula,0.54236
VM221101,sub-17,easy,easy,r_insula,0.75758
NK221102,sub-18,easy,easy,r_insula,0.69444
DP221102,sub-19,easy,easy,r_insula,0.2851
DB221102,sub-20,easy,easy,r_insula,0.26414
JH221108,sub-21,easy,easy,r_insula,0.65341
SJ221109,sub-22,easy,easy,r_insula,0.71138
WB221109,sub-23,easy,easy,r_insula,0.11871
JH221115,sub-24,easy,easy,r_insula,0.41937
RK221115,sub-25,easy,easy,r_insula,0.47173
KB220915,sub-01,easy,hard,r_insula,NA
EG220928,sub-02,easy,hard,r_insula,NA
RU221003,sub-03,easy,hard,r_insula,-0.017178
CB221005,sub-04,easy,hard,r_insula,0.43678
DP221007,sub-05,easy,hard,r_insula,0.58823
EM221011,sub-06,easy,hard,r_insula,0.12292
MR221012,sub-07,easy,hard,r_insula,0.018289
TH221024,sub-08,easy,hard,r_insula,0.52142
JA221024,sub-09,easy,hard,r_insula,0.14117
ES221025,sub-10,easy,hard,r_insula,NA
FN221026,sub-11,easy,hard,r_insula,0.7454
SA221026,sub-12,easy,hard,r_insula,0.24446
VG221026,sub-13,easy,hard,r_insula,-0.028224
KL221026,sub-14,easy,hard,r_insula,0.81945
AN221026,sub-15,easy,hard,r_insula,0.63953
EL221026,sub-16,easy,hard,r_insula,0.75359
VM221101,sub-17,easy,hard,r_insula,0.73834
NK221102,sub-18,easy,hard,r_insula,0.63157
DP221102,sub-19,easy,hard,r_insula,0.53018
DB221102,sub-20,easy,hard,r_insula,0.5257
JH221108,sub-21,easy,hard,r_insula,0.1031
SJ221109,sub-22,easy,hard,r_insula,0.71918
WB221109,sub-23,easy,hard,r_insula,0.24707
JH221115,sub-24,easy,hard,r_insula,0.76205
RK221115,sub-25,easy,hard,r_insula,0.92337
KB220915,sub-01,hard,easy,r_insula,NA
EG220928,sub-02,hard,easy,r_insula,NA
RU221003,sub-03,hard,easy,r_insula,0.32794
CB221005,sub-04,hard,easy,r_insula,0.43026
DP221007,sub-05,hard,easy,r_insula,1.2554
EM221011,sub-06,hard,easy,r_insula,0.20097
MR221012,sub-07,hard,easy,r_insula,0.76877
TH221024,sub-08,hard,easy,r_insula,0.83384
JA221024,sub-09,hard,easy,r_insula,0.30484
ES221025,sub-10,hard,easy,r_insula,NA
FN221026,sub-11,hard,easy,r_insula,0.77065
SA221026,sub-12,hard,easy,r_insula,0.43484
VG221026,sub-13,hard,easy,r_insula,0.40145
KL221026,sub-14,hard,easy,r_insula,1.353
AN221026,sub-15,hard,easy,r_insula,0.82359
EL221026,sub-16,hard,easy,r_insula,0.92563
VM221101,sub-17,hard,easy,r_insula,0.99787
NK221102,sub-18,hard,easy,r_insula,0.92504
DP221102,sub-19,hard,easy,r_insula,0.51357
DB221102,sub-20,hard,easy,r_insula,0.86027
JH221108,sub-21,hard,easy,r_insula,0.55799
SJ221109,sub-22,hard,easy,r_insula,1.3343
WB221109,sub-23,hard,easy,r_insula,0.54512
JH221115,sub-24,hard,easy,r_insula,0.61514
RK221115,sub-25,hard,easy,r_insula,1.0235
KB220915,sub-01,hard,hard,r_insula,NA
EG220928,sub-02,hard,hard,r_insula,NA
RU221003,sub-03,hard,hard,r_insula,-0.3082
CB221005,sub-04,hard,hard,r_insula,0.59451
DP221007,sub-05,hard,hard,r_insula,1.0267
EM221011,sub-06,hard,hard,r_insula,0.084054
MR221012,sub-07,hard,hard,r_insula,1.2489
TH221024,sub-08,hard,hard,r_insula,0.29588
JA221024,sub-09,hard,hard,r_insula,0.14051
ES221025,sub-10,hard,hard,r_insula,NA
FN221026,sub-11,hard,hard,r_insula,0.81353
SA221026,sub-12,hard,hard,r_insula,0.51349
VG221026,sub-13,hard,hard,r_insula,0.70516
KL221026,sub-14,hard,hard,r_insula,1.2018
AN221026,sub-15,hard,hard,r_insula,0.81602
EL221026,sub-16,hard,hard,r_insula,0.92991
VM221101,sub-17,hard,hard,r_insula,1.1054
NK221102,sub-18,hard,hard,r_insula,1.1026
DP221102,sub-19,hard,hard,r_insula,0.37333
DB221102,sub-20,hard,hard,r_insula,0.85766
JH221108,sub-21,hard,hard,r_insula,0.68193
SJ221109,sub-22,hard,hard,r_insula,0.88256
WB221109,sub-23,hard,hard,r_insula,0.59418
JH221115,sub-24,hard,hard,r_insula,0.93908
RK221115,sub-25,hard,hard,r_insula,1.1557
KB220915,sub-01,easy,easy,r_pacg,NA
EG220928,sub-02,easy,easy,r_pacg,NA
RU221003,sub-03,easy,easy,r_pacg,0.013843
CB221005,sub-04,easy,easy,r_pacg,0.39842
DP221007,sub-05,easy,easy,r_pacg,0.47852
EM221011,sub-06,easy,easy,r_pacg,0.60119
MR221012,sub-07,easy,easy,r_pacg,1.0237
TH221024,sub-08,easy,easy,r_pacg,0.042606
JA221024,sub-09,easy,easy,r_pacg,0.11534
ES221025,sub-10,easy,easy,r_pacg,NA
FN221026,sub-11,easy,easy,r_pacg,0.52906
SA221026,sub-12,easy,easy,r_pacg,0.48665
VG221026,sub-13,easy,easy,r_pacg,0.22667
KL221026,sub-14,easy,easy,r_pacg,0.63161
AN221026,sub-15,easy,easy,r_pacg,0.75558
EL221026,sub-16,easy,easy,r_pacg,0.52942
VM221101,sub-17,easy,easy,r_pacg,0.89157
NK221102,sub-18,easy,easy,r_pacg,0.62949
DP221102,sub-19,easy,easy,r_pacg,0.19653
DB221102,sub-20,easy,easy,r_pacg,0.31058
JH221108,sub-21,easy,easy,r_pacg,0.40913
SJ221109,sub-22,easy,easy,r_pacg,0.36398
WB221109,sub-23,easy,easy,r_pacg,0.36576
JH221115,sub-24,easy,easy,r_pacg,0.21278
RK221115,sub-25,easy,easy,r_pacg,0.5538
KB220915,sub-01,easy,hard,r_pacg,NA
EG220928,sub-02,easy,hard,r_pacg,NA
RU221003,sub-03,easy,hard,r_pacg,-0.0091289
CB221005,sub-04,easy,hard,r_pacg,0.16958
DP221007,sub-05,easy,hard,r_pacg,0.53257
EM221011,sub-06,easy,hard,r_pacg,0.5492
MR221012,sub-07,easy,hard,r_pacg,0.29513
TH221024,sub-08,easy,hard,r_pacg,0.51165
JA221024,sub-09,easy,hard,r_pacg,-0.031208
ES221025,sub-10,easy,hard,r_pacg,NA
FN221026,sub-11,easy,hard,r_pacg,0.59572
SA221026,sub-12,easy,hard,r_pacg,0.15252
VG221026,sub-13,easy,hard,r_pacg,0.078202
KL221026,sub-14,easy,hard,r_pacg,0.51599
AN221026,sub-15,easy,hard,r_pacg,0.82101
EL221026,sub-16,easy,hard,r_pacg,0.55869
VM221101,sub-17,easy,hard,r_pacg,1.0848
NK221102,sub-18,easy,hard,r_pacg,0.50586
DP221102,sub-19,easy,hard,r_pacg,0.17354
DB221102,sub-20,easy,hard,r_pacg,0.40628
JH221108,sub-21,easy,hard,r_pacg,0.35095
SJ221109,sub-22,easy,hard,r_pacg,0.52679
WB221109,sub-23,easy,hard,r_pacg,0.1952
JH221115,sub-24,easy,hard,r_pacg,0.56907
RK221115,sub-25,easy,hard,r_pacg,1.0567
KB220915,sub-01,hard,easy,r_pacg,NA
EG220928,sub-02,hard,easy,r_pacg,NA
RU221003,sub-03,hard,easy,r_pacg,0.24147
CB221005,sub-04,hard,easy,r_pacg,0.39147
DP221007,sub-05,hard,easy,r_pacg,1.1049
EM221011,sub-06,hard,easy,r_pacg,0.76201
MR221012,sub-07,hard,easy,r_pacg,0.96588
TH221024,sub-08,hard,easy,r_pacg,0.78901
JA221024,sub-09,hard,easy,r_pacg,0.17948
